"i";"xi";"yi";"f(x, y)";"si1";"si2";"lambdai";"|yi-y(i-1)|";"|yi-y(i-1)|";"|fi-f(i-1)|";"angle((xi, yi), si)";"gi1";"gi2";
"33";"0,9724339357976848";"0,9454704405229544";"0,0007623628213760966";"-0,013758270419222153";"-0,03216261965803033";"-0,0015";"0,00007760926426778636";"0,0000027365256885847344";"0,0000018181819874636207";"2,7463528559370283";"0,006060792894863276";"-0,03146379360428053";
"34";"0,9745163883026261";"0,9503385762574259";"0,0006924986165179236";"-0,3068304721150932";"0,13127703740622998";"-0,15136005046330603";"0,0020824525049412757";"0,004868135734471589";"0,00006986420485817306";"1,9644735811167877";"-0,3068304721150932";"0,13127703740622998";
"35";"0,9748477652125104";"0,9501967970570272";"0,0006343606773775481";"-0,000982857868599907";"-0,025459024365206657";"-0,0010799999999999998";"0,0003313769098843006";"0,00014177920039872835";"0,00005813793914037548";"2,381976107395055";"0,0009211611874377912";"-0,026273656559716585";
"36";"0,9748538106607613";"0,9503533926536404";"0,0006323489029722913";"-0,05553338533059082";"0,0026880987666011436";"-0,0061508875739644964";"0,000006045448250944398";"0,00015659559661320896";"0,0000020117744052568307";"2,32055258094778";"-0,05553338533059082";"0,0026880987666011436";
"37";"0,9749137867169183";"0,9503504895069724";"0,000630450235950041";"-0,018168216957393783";"-0,020821093147387032";"-0,0010799999999999998";"0,000059976056157038075";"0,0000029031466679292343";"0,0000018986670222502196";"3,0608985366660644";"-0,00867930661136973";"-0,021280404749690618";
"38";"0,9751678431417594";"0,950641642595837";"0,0006262882019504025";"0,07152162821293029";"-0,06213594038280146";"-0,01398356401384083";"0,00025405642484106446";"0,0002911530888646292";"0,0000041620339996385454";"1,48795467546479";"0,07152162821293029";"-0,06213594038280146";
"39";"0,9750905997832895";"0,9507087494114504";"0,0006213417874309784";"-0,00935305914491965";"-0,022252157123308913";"-0,0010799999999999998";"0,0000772433584699647";"0,00006710681561342556";"0,000004946414519424133";"2,7414357441665578";"-0,013573366746093996";"-0,018585674856952394";
"40";"0,9765920317080505";"0,9542808533169285";"0,0005780573715595638";"-0,26121965492811405";"0,10977138425409816";"-0,16052843262266178";"0,0015014319247610047";"0,0035721039054779783";"0,00004328441587141455";"1,969928554139008";"-0,26121965492811405";"0,10977138425409816";
"41";"0,9768741489353729";"0,954162300221934";"0,0005362643151564143";"-0,0009503094839577282";"-0,023361174208431024";"-0,0010799999999999998";"0,0002821172273223631";"0,00011855309499442598";"0,00004179305640314955";"2,3850901472392176";"0,0009518868709079698";"-0,024160527255023823";
"42";"0,9768799941821692";"0,9543059921780859";"0,0005345478231446161";"-0,050721602850871905";"0,0022938289461871264";"-0,0061508875739644964";"0,000005845246796296203";"0,00014369195615185828";"0,0000017164920117981874";"2,3226900368630004";"-0,050721602850871905";"0,0022938289461871264";
